;;TEST EMSC: Fri Jan 28 03:15:25 2022
;;TEST EMSC: Fri Jan 28 03:46:07 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
;;[CLasses # 2]:
;;[16BruteForceSearchI8HMPointGILj50EE8HMMetricE]
;; Tree depths, min depth, max depth :1,6,6
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,btime,stime
100,0,2,200,0,RAN,BOM,100,100,1,0
;;TEST EMSC: Fri Jan 28 03:46:38 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
;;[CLasses # 2]:
;;[16BruteForceSearchI8HMPointGILj50EE8HMMetricE]
;; Tree depths, min depth, max depth :1,6,6
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,btime,stime
100,0,2,200,0,RAN,BOM,100,100,1,0
;;TEST EMSC: Fri Jan 28 03:47:01 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
;;[CLasses # 2]:
;;[16BruteForceSearchI8HMPointGILj50EE8HMMetricE]
;; Tree depths, min depth, max depth :1,6,6
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,btime,stime
100,0,2,200,0,RAN,BOM,100,100,1,0
;;TEST EMSC: Fri Jan 28 03:47:09 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
;;[CLasses # 2]:
;;[16BruteForceSearchI8HMPointGILj50EE8HMMetricE]
;; Tree depths, min depth, max depth :1,6,6
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,btime,stime
100,0,2,200,0,RAN,BOM,100,100,1,0
;;TEST EMSC: Fri Jan 28 03:48:14 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
;;[CLasses # 2]:
;;[16BruteForceSearchI8HMPointGILj50EE8HMMetricE]
;; Tree depths, min depth, max depth :1,6,6
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,btime,stime
100,0,2,200,0,RAN,BOM,100,100,1,0
;;TEST EMSC: Fri Jan 28 03:49:11 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
;;[CLasses # 2]:
;;[16BruteForceSearchI8HMPointGILj50EE8HMMetricE]
;; Tree depths, min depth, max depth :1,6,6
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,btime,stime
100,0,2,200,0,RAN,BOM,100,100,2,1
;;TEST EMSC: Fri Jan 28 03:50:14 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
;;[CLasses # 2]:
;;[16BruteForceSearchI8HMPointGILj50EE8HMMetricE]
;; Tree depths, min depth, max depth :1,6,6
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,btime,stime
100,0,2,200,0,RAN,BOM,100,100,2,0
