;;TEST RADIUS: Mon Jan 24 23:21:10 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj10EE8HMMetricE],[8HMMetric, ]
sname,MADI,dim,dbSize,collection, nQueries,radius,nfound,aveNfound,radiusSum,Pivot,Partition,NNodesVistd,NDistCalls,btime,stime,stime_n1000
CMT,700,50,200000,F,100,3,20000000,200000,0,RAN,BOM,200000,200000,10961,66077,660770
CMT,700,50,200000,F,100,4,20000000,200000,0,RAN,BOM,200000,200000,10961,65079,650790
CMT,700,50,200000,F,100,5,20000000,200000,0,RAN,BOM,200000,200000,10961,65617,656170
CMT,800,50,200000,F,100,1,20000000,200000,0,RAN,BOM,200000,200000,11023,67302,673020
CMT,800,50,200000,F,100,2,20000000,200000,0,RAN,BOM,200000,200000,11023,66951,669510
CMT,800,50,200000,F,100,3,20000000,200000,0,RAN,BOM,200000,200000,11023,66869,668690
CMT,800,50,200000,F,100,4,20000000,200000,0,RAN,BOM,200000,200000,11023,67614,676140
CMT,800,50,200000,F,100,5,20000000,200000,0,RAN,BOM,200000,200000,11023,67648,676480
CMT,900,50,200000,F,100,1,20000000,200000,0,RAN,BOM,200000,200000,10923,66583,665830
CMT,900,50,200000,F,100,2,20000000,200000,0,RAN,BOM,200000,200000,10923,66144,661440
CMT,900,50,200000,F,100,3,20000000,200000,0,RAN,BOM,200000,200000,10923,65851,658510
CMT,900,50,200000,F,100,4,20000000,200000,0,RAN,BOM,200000,200000,10923,66673,666730
CMT,900,50,200000,F,100,5,20000000,200000,0,RAN,BOM,200000,200000,10923,66130,661300
;;TEST RADIUS: Tue Jan 25 02:06:55 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
sname,MADI,dim,dbSize,collection, nQueries,radius,nfound,aveNfound,radiusSum,Pivot,Partition,NNodesVistd,NDistCalls,btime,stime,stime_n1000
CMT,10,50,294,F,6,1,1764,294,0,RAN,BOM,294,294,6,2,333.333
CMT,10,50,294,F,6,2,1764,294,0,RAN,BOM,294,294,6,2,333.333
CMT,10,50,294,F,6,3,1764,294,0,RAN,BOM,294,294,6,2,333.333
CMT,10,50,294,F,6,4,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,10,50,294,F,6,5,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,100,50,294,F,6,1,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,100,50,294,F,6,2,1764,294,0,RAN,BOM,294,294,6,2,333.333
CMT,100,50,294,F,6,3,1764,294,0,RAN,BOM,294,294,6,2,333.333
CMT,100,50,294,F,6,4,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,100,50,294,F,6,5,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,200,50,294,F,6,1,1764,294,0,RAN,BOM,294,294,6,2,333.333
